Unnamed: 0,ID,State,Date,text,sentiments_x,Phase,simpleSenti,Topic,Pandemic_Phase
1,1.2413387600061727e+18,Michigan,2020-03-21,"y'all can breathe in these jus fine? i feel like it's probably jus me. lol. #corona #coronavirus #quarantine #mask #facemask #eyes #greeneyes #bedhead @ flint, michigan https://t.co/fmmd7rme6e",0.608333333333333,P1,Positive,Mask,Lockdown
2,1.2414990560541164e+18,Ohio,2020-03-21,"hi-litez of the week archives...ðÿ‘ðÿ¿
.
.
while at home quarantined,  just a quck review of what we do! it put a smile on my face...ðÿ™‚
corona won't stop is! we haven't stopped..we've gone virtual..and have onlineâ€¦ https://t.co/znphghadlo",0.375,P1,Positive,Mask,Lockdown
3,1.2422649930951923e+18,Pennsylvania,2020-03-24,"what would happen if joe dirt stayed at the gator park a couple years before starting his own tiger zoo....

#tigerking #corona #quarantine @ badstreet, philadelphia, pa https://t.co/ca6i1lsdk8",0.3,P1,Positive,Mask,Lockdown
4,1.2439979990066545e+18,Pennsylvania,2020-03-28,"â€œwhere words fail, music speaks

::::::::::
#love #music #peace #graffiti #adidas #camo #camoflauge #wall #inspiration #corona #viruis #mask #poetry #artsy #fleetdjs #fleetdjchallenge #coalitiondjsâ€¦ https://t.co/m5f3n6uajg",0.0,P1,Neutral,Mask,Lockdown
5,1.244455358661263e+18,Indiana,2020-03-30,"skincare ðÿ¥°ðÿ¥°ðÿ¥° e.l.f. toner, a soothing watermelon mask from beyond belief, and it cosmetics confidence in a cream moisturizer. #skincare #selfcare #selfcaresunday #sheetmask #elfcosmetics #itcosmetics #beyondbelief @â€¦ https://t.co/t1m0stgxpj",0.0,P1,Neutral,Mask,Lockdown
6,1.244396642800939e+18,Ohio,2020-03-29,"the first mask iâ€™ve ever made! what yâ€™all think? itâ€™s for a costume, but  thinking iâ€™ll make a couple more ðÿ˜ƒ#facemasks #corona #safetybutmakeitfashion #fashion #sequin #handmade @ columbus, ohio https://t.co/xzussvoimt",0.0,P1,Neutral,Mask,Lockdown
7,1.2443761862197248e+18,Pennsylvania,2020-03-29,"hey kenions...

""old man"" ken has finally been laid to rest.  seriously, i was showing so much gray, i looked like i was 10 years older.  shaving was not my goal, but can't wear a mask properly with facial hair.  iâ€¦ https://t.co/m1dkapki8t",0.0,P1,Neutral,Mask,Lockdown
8,1.244376477182972e+18,Michigan,2020-03-29,"covid music ðÿ¦ ðÿž¼ðÿ’¥

day 6 of 21. 

sunday aka â€œsongdayâ€. a snippet of some new material ðÿ¤«

â€œ here â€œ x feimstro. 

like &amp; share ðÿ–¤ 

#feimstro #pianist #composer @ here https://t.co/uhnybfjkmc",0.0,P1,Neutral,Mask,Lockdown
9,1.2443195103305564e+18,Indiana,2020-03-29,iâ€™ve been doing a mask nearly every day since being in isolation and all i know is my skin better be fucking luminous when this is all over. #socialdistancing #quarantinelife #skincare #claymask #beauty #sundayfundayâ€¦ https://t.co/ijvroyxdgv,0.0,P1,Neutral,Mask,Lockdown
10,1.2443149305112166e+18,Pennsylvania,2020-03-29,"slide reads:
.
homemaking is making.
.
emotional labor is labor.
.
â™¥ï¸â™¥ï¸ðÿœ¼ðÿœ¸
.
if you are feeling exhausted keeping your home and family together during this pandemic, i see you.
.
.
#actuallyautistic #actuallyunmaskingâ€¦ https://t.co/vsmtzdd9bh",0.0,P1,Neutral,Mask,Lockdown
11,1.2443073546587505e+18,Indiana,2020-03-29,"itâ€™s #haultime! hereâ€™s my march @ipsy + add ons! this month i got the @ilovepacifica wild hemp eyeshadow palette, the @ofracosmetics bronzer in versatile matte, the awakeskin lip mask, the mischobeauty nail lacquerâ€¦ https://t.co/o75j04ap0v",0.0,P1,Neutral,Mask,Lockdown
12,1.244274897834193e+18,Pennsylvania,2020-03-29,"iâ€™m ready to fight the evil doers everywhere! #charcolmask #priceofbeauty #quarantine #shelterinplaceactivities @ morrisville, pennsylvania https://t.co/vvcqv1xkrm",0.0,P1,Neutral,Mask,Lockdown
13,1.2502350633436447e+18,West Virginia,2020-04-15,"even the characters in my video games are over this covid-19/corona virus &amp; quarantine ðÿ‚ðÿ’©
...
dyinglight warnerbrosentertainment
#overit #coronavirus #facemask #dyinglight #gamehumor #quarantinelife #quarantineâ€¦ https://t.co/g5by6jecnl",0.0,P1,Neutral,Mask,Lockdown
14,1.2504217070907433e+18,Indiana,2020-04-15,"i join mayor brainard and strongly recommend that everyone, that means, everyone, wear a mask when out-and-about.  letâ€™s kick coronaâ€™s ass!
#carmel #wearmasks #carmelcares @ carmel, indiana https://t.co/brmuguczyn",0.541666666666667,P1,Positive,Mask,Lockdown
15,1.2519411289847685e+18,Ohio,2020-04-19,"#covid19 
#blantonsbourbon 
#mask @ opa grill  and tavern https://t.co/bhq6b6mfcp",0.0,P1,Neutral,Mask,Lockdown
16,1.2522677100310282e+18,Ohio,2020-04-20,working from home today ðÿ’» #coronavirus #covid19 #endocannabinoid #cbd #hydrogenperoxide #alcohol #soap #mask #handsanitizer #gloves #scarf #savings #crypto #gold #silver #stocksâ€¦ https://t.co/thhjy6jgwy,0.0,P1,Neutral,Mask,Lockdown
17,1.252454194314961e+18,Ohio,2020-04-21,"i know we have been quiet over here but thatâ€™s because we have been sew ðÿ§µbusy making masks, and teaching and empowering our clevelandsews community! #covid19 #clevelandsews #ppe #makers #communityimpact #cleâ€¦ https://t.co/3a0falarjh",0.0625,P1,Neutral,Mask,Lockdown
18,1.2535127318246605e+18,Pennsylvania,2020-04-24,#mask #facemask #coronavirus @ rim cafe https://t.co/48nxx5o9lh,0.0,P1,Neutral,Mask,Lockdown
19,1.2537439296835215e+18,Pennsylvania,2020-04-24,"flexin so covid culinary skills the past few weeks. smoked turkey, hickory smoked brisket w/ some mild apple undertones, steak fajitas with press peppers and acevedo, and todayâ€™s lunch was ranch dusted chicken overâ€¦ https://t.co/7eflzl5k40",-0.143333333333333,P1,Negative,Mask,Lockdown
20,1.2538408051413647e+18,Pennsylvania,2020-04-25,special masks for special friends..made on request #centuryfurniture #imgettingtiredofthis #phillies #covid19 #tgif @ abington junior high school https://t.co/agjdtjbpuu,0.291428571428571,P1,Positive,Mask,Lockdown
