Date,State,Tweet_activity
2020-03-22T00:00Z,Ohio,31
2020-03-29T00:00Z,Ohio,76
2020-04-05T00:00Z,Ohio,39
2020-04-12T00:00Z,Ohio,25
2020-04-19T00:00Z,Ohio,32
2020-04-26T00:00Z,Ohio,63
2020-05-03T00:00Z,Ohio,106
2020-05-10T00:00Z,Ohio,101
2020-05-17T00:00Z,Ohio,87
2020-05-24T00:00Z,Ohio,77
2020-05-31T00:00Z,Ohio,98
2020-06-07T00:00Z,Ohio,45
2020-06-14T00:00Z,Ohio,45
2020-06-21T00:00Z,Ohio,69
2020-06-28T00:00Z,Ohio,62
2020-07-05T00:00Z,Ohio,85
2020-07-12T00:00Z,Ohio,79
2020-07-19T00:00Z,Ohio,85
2020-07-26T00:00Z,Ohio,92
2020-08-02T00:00Z,Ohio,72
2020-08-09T00:00Z,Ohio,94
2020-08-16T00:00Z,Ohio,104
2020-08-23T00:00Z,Ohio,105
2020-08-30T00:00Z,Ohio,76
2020-09-06T00:00Z,Ohio,67
2020-09-13T00:00Z,Ohio,41
2020-09-20T00:00Z,Ohio,31
2020-09-27T00:00Z,Ohio,35
2020-10-04T00:00Z,Ohio,23
2020-10-11T00:00Z,Ohio,19
2020-10-18T00:00Z,Ohio,24
2020-10-25T00:00Z,Ohio,34
2020-11-01T00:00Z,Ohio,47
2020-11-08T00:00Z,Ohio,23
2020-11-15T00:00Z,Ohio,43
2020-11-22T00:00Z,Ohio,32
2020-11-29T00:00Z,Ohio,41
2020-12-06T00:00Z,Ohio,49
2020-12-13T00:00Z,Ohio,36
2020-12-20T00:00Z,Ohio,30
2020-12-27T00:00Z,Ohio,30
2021-01-03T00:00Z,Ohio,25
2021-01-10T00:00Z,Ohio,19
2021-01-17T00:00Z,Ohio,29
2021-01-24T00:00Z,Ohio,30
2021-01-31T00:00Z,Ohio,30
2021-02-07T00:00Z,Ohio,30
2021-02-14T00:00Z,Ohio,21
2021-02-21T00:00Z,Ohio,31
2021-02-28T00:00Z,Ohio,18
2021-03-07T00:00Z,Ohio,21
2021-03-14T00:00Z,Ohio,42
2021-03-21T00:00Z,Ohio,46
2021-03-28T00:00Z,Ohio,43
2021-04-04T00:00Z,Ohio,45
2021-04-11T00:00Z,Ohio,38
2021-04-18T00:00Z,Ohio,33
2021-04-25T00:00Z,Ohio,29
2021-05-02T00:00Z,Ohio,21
2021-05-09T00:00Z,Ohio,26
2021-05-16T00:00Z,Ohio,31
2021-05-23T00:00Z,Ohio,14
2021-05-30T00:00Z,Ohio,22
2021-06-06T00:00Z,Ohio,17
2021-06-13T00:00Z,Ohio,20
2021-06-20T00:00Z,Ohio,15
2021-06-27T00:00Z,Ohio,19
2021-07-04T00:00Z,Ohio,11
2021-07-11T00:00Z,Ohio,17
2021-07-18T00:00Z,Ohio,13
2021-07-25T00:00Z,Ohio,17
2021-08-01T00:00Z,Ohio,7
2020-03-22T00:00Z,Kentucky,15
2020-03-29T00:00Z,Kentucky,33
2020-04-05T00:00Z,Kentucky,12
2020-04-12T00:00Z,Kentucky,7
2020-04-19T00:00Z,Kentucky,6
2020-04-26T00:00Z,Kentucky,11
2020-05-03T00:00Z,Kentucky,22
2020-05-10T00:00Z,Kentucky,23
2020-05-17T00:00Z,Kentucky,26
2020-05-24T00:00Z,Kentucky,26
2020-05-31T00:00Z,Kentucky,15
2020-06-07T00:00Z,Kentucky,9
2020-06-14T00:00Z,Kentucky,17
2020-06-21T00:00Z,Kentucky,23
2020-06-28T00:00Z,Kentucky,22
2020-07-05T00:00Z,Kentucky,19
2020-07-12T00:00Z,Kentucky,20
2020-07-19T00:00Z,Kentucky,28
2020-07-26T00:00Z,Kentucky,25
2020-08-02T00:00Z,Kentucky,21
2020-08-09T00:00Z,Kentucky,27
2020-08-16T00:00Z,Kentucky,31
2020-08-23T00:00Z,Kentucky,23
2020-08-30T00:00Z,Kentucky,18
2020-09-06T00:00Z,Kentucky,24
2020-09-13T00:00Z,Kentucky,15
2020-09-20T00:00Z,Kentucky,12
2020-09-27T00:00Z,Kentucky,10
2020-10-04T00:00Z,Kentucky,6
2020-10-11T00:00Z,Kentucky,7
2020-10-18T00:00Z,Kentucky,7
2020-10-25T00:00Z,Kentucky,15
2020-11-01T00:00Z,Kentucky,23
2020-11-08T00:00Z,Kentucky,9
2020-11-15T00:00Z,Kentucky,14
2020-11-22T00:00Z,Kentucky,10
2020-11-29T00:00Z,Kentucky,15
2020-12-06T00:00Z,Kentucky,25
2020-12-13T00:00Z,Kentucky,23
2020-12-20T00:00Z,Kentucky,11
2020-12-27T00:00Z,Kentucky,13
2021-01-03T00:00Z,Kentucky,10
2021-01-10T00:00Z,Kentucky,15
2021-01-17T00:00Z,Kentucky,13
2021-01-24T00:00Z,Kentucky,9
2021-01-31T00:00Z,Kentucky,6
2021-02-07T00:00Z,Kentucky,9
2021-02-14T00:00Z,Kentucky,15
2021-02-21T00:00Z,Kentucky,12
2021-02-28T00:00Z,Kentucky,10
2021-03-07T00:00Z,Kentucky,10
2021-03-14T00:00Z,Kentucky,9
2021-03-21T00:00Z,Kentucky,19
2021-03-28T00:00Z,Kentucky,11
2021-04-04T00:00Z,Kentucky,9
2021-04-11T00:00Z,Kentucky,10
2021-04-18T00:00Z,Kentucky,10
2021-04-25T00:00Z,Kentucky,5
2021-05-02T00:00Z,Kentucky,7
2021-05-09T00:00Z,Kentucky,2
2021-05-16T00:00Z,Kentucky,5
2021-05-23T00:00Z,Kentucky,4
2021-05-30T00:00Z,Kentucky,4
2021-06-06T00:00Z,Kentucky,2
2021-06-13T00:00Z,Kentucky,5
2021-06-20T00:00Z,Kentucky,2
2021-06-27T00:00Z,Kentucky,7
2021-07-04T00:00Z,Kentucky,8
2021-07-11T00:00Z,Kentucky,5
2021-07-18T00:00Z,Kentucky,5
2021-07-25T00:00Z,Kentucky,3
2021-08-01T00:00Z,Kentucky,2
2020-03-22T00:00Z,Michigan,20
2020-03-29T00:00Z,Michigan,73
2020-04-05T00:00Z,Michigan,35
2020-04-12T00:00Z,Michigan,12
2020-04-19T00:00Z,Michigan,10
2020-04-26T00:00Z,Michigan,32
2020-05-03T00:00Z,Michigan,60
2020-05-10T00:00Z,Michigan,67
2020-05-17T00:00Z,Michigan,51
2020-05-24T00:00Z,Michigan,51
2020-05-31T00:00Z,Michigan,72
2020-06-07T00:00Z,Michigan,24
2020-06-14T00:00Z,Michigan,53
2020-06-21T00:00Z,Michigan,83
2020-06-28T00:00Z,Michigan,67
2020-07-05T00:00Z,Michigan,57
2020-07-12T00:00Z,Michigan,62
2020-07-19T00:00Z,Michigan,60
2020-07-26T00:00Z,Michigan,49
2020-08-02T00:00Z,Michigan,51
2020-08-09T00:00Z,Michigan,76
2020-08-16T00:00Z,Michigan,69
2020-08-23T00:00Z,Michigan,69
2020-08-30T00:00Z,Michigan,75
2020-09-06T00:00Z,Michigan,63
2020-09-13T00:00Z,Michigan,37
2020-09-20T00:00Z,Michigan,38
2020-09-27T00:00Z,Michigan,34
2020-10-04T00:00Z,Michigan,20
2020-10-11T00:00Z,Michigan,33
2020-10-18T00:00Z,Michigan,43
2020-10-25T00:00Z,Michigan,33
2020-11-01T00:00Z,Michigan,29
2020-11-08T00:00Z,Michigan,29
2020-11-15T00:00Z,Michigan,38
2020-11-22T00:00Z,Michigan,44
2020-11-29T00:00Z,Michigan,41
2020-12-06T00:00Z,Michigan,26
2020-12-13T00:00Z,Michigan,36
2020-12-20T00:00Z,Michigan,28
2020-12-27T00:00Z,Michigan,28
2021-01-03T00:00Z,Michigan,28
2021-01-10T00:00Z,Michigan,22
