Date,State,Tweet_activity,Popular_Topics
2020-03-22T00:00Z,Ohio,31,Testing
2020-03-29T00:00Z,Ohio,76,Testing
2020-04-05T00:00Z,Ohio,39,Testing
2020-04-12T00:00Z,Ohio,25,Testing
2020-04-19T00:00Z,Ohio,32,Testing
2020-04-26T00:00Z,Ohio,63,Testing
2020-05-03T00:00Z,Ohio,106,Mask
2020-05-10T00:00Z,Ohio,101,Mask
2020-05-17T00:00Z,Ohio,87,Mask
2020-05-24T00:00Z,Ohio,77,Mask
2020-05-31T00:00Z,Ohio,98,Mask
2020-06-07T00:00Z,Ohio,45,Mask
2020-06-14T00:00Z,Ohio,45,Mask
2020-06-21T00:00Z,Ohio,69,Mask
2020-06-28T00:00Z,Ohio,62,Mask
2020-07-05T00:00Z,Ohio,85,Mask
2020-07-12T00:00Z,Ohio,79,Mask
2020-07-19T00:00Z,Ohio,85,Mask
2020-07-26T00:00Z,Ohio,92,Mask
2020-08-02T00:00Z,Ohio,72,Mask
2020-08-09T00:00Z,Ohio,94,Mask
2020-08-16T00:00Z,Ohio,104,Mask
2020-08-23T00:00Z,Ohio,105,Mask
2020-08-30T00:00Z,Ohio,76,Mask
2020-09-06T00:00Z,Ohio,67,Mask
2020-09-13T00:00Z,Ohio,41,Mask
2020-09-20T00:00Z,Ohio,31,Mask
2020-09-27T00:00Z,Ohio,35,Mask
2020-10-04T00:00Z,Ohio,23,Mask
2020-10-11T00:00Z,Ohio,19,Mask
2020-10-18T00:00Z,Ohio,24,Mask
2020-10-25T00:00Z,Ohio,34,Mask
2020-11-01T00:00Z,Ohio,47,Mask
2020-11-08T00:00Z,Ohio,23,Mask
2020-11-15T00:00Z,Ohio,43,Mask
2020-11-22T00:00Z,Ohio,32,Mask
2020-11-29T00:00Z,Ohio,41,Mask
2020-12-06T00:00Z,Ohio,49,Mask
2020-12-13T00:00Z,Ohio,36,Mask
2020-12-20T00:00Z,Ohio,30,Mask
2020-12-27T00:00Z,Ohio,30,Mask
2021-01-03T00:00Z,Ohio,25,Quarantines
2021-01-10T00:00Z,Ohio,19,Quarantines
2021-01-17T00:00Z,Ohio,29,Quarantines
2021-01-24T00:00Z,Ohio,30,Quarantines
2021-01-31T00:00Z,Ohio,30,Quarantines
2021-02-07T00:00Z,Ohio,30,Quarantines
2021-02-14T00:00Z,Ohio,21,Quarantines
2021-02-21T00:00Z,Ohio,31,Quarantines
2021-02-28T00:00Z,Ohio,18,Quarantines
2021-03-07T00:00Z,Ohio,21,Quarantines
2021-03-14T00:00Z,Ohio,42,Quarantines
2021-03-21T00:00Z,Ohio,46,Quarantines
