"","ID","State","Date","text","sentiments_x","Phase","simpleSenti"
"1",1241718379163115520,"Ohio",2020-03-22,"do you have a fluid &amp; electrolytes test coming up at tri-c?

are you freaking out because your nclex has been rescheduled &amp; you are afraid you will forget key points on this difficult exam? 

well during this coronaâ€¦ https://t.co/u5781hkitg",-0.275,"P1","Negative"
"2",1251530507143262208,"Pennsylvania",2020-04-18,"coronavirus got me in my bag...nigga if you cough then dab if you sneeze then dab if you donâ€™t then i might throw a jab lol #tictok #cornavã­rus #paidinfull #comedy #mitch #stayhome #tellthemwhyyoumad @ philadelphia,â€¦ https://t.co/xb6zkxo0qo",0.8,"P1","Positive"
"3",1251993758742335488,"Indiana",2020-04-19,"abc news

abc

while acknowledging the importance of testing, dr. deborah birx, the white house coronavirus response coordinator, said that it is only part of the solution to reopen the united states amid theâ€¦ https://t.co/hiyitfqqpx",0,"P1","Neutral"
"4",1252259897552572416,"Pennsylvania",2020-04-20,"joel and i just got great news: negative covid 19 test results!!
.
itâ€™s been 7 days since joel had the beginning of some troubling, covid-like symptoms, and 4 days since we were both tested (joel is in a vulnerableâ€¦ https://t.co/pmcu4s4fuc",-0.0562499999999999,"P1","Neutral"
"5",1252616219447853056,"Pennsylvania",2020-04-21,"brazil's bolsonaro joins supporters in protest against coronavirus measures - npr https://t.co/n2ycj53cul https://t.co/bqvb3k8dvf",0,"P1","Neutral"
"6",1254197363566051328,"Pennsylvania",2020-04-25,"there are now 7 covid-19 testing sites total in west: 

health center 4 at 44th and (cont) https://t.co/coibxlv6io",-0.05,"P1","Neutral"
"7",1255620636551966720,"Pennsylvania",2020-04-29,"gilead says early results of coronavirus drug trial show improvement with shorter remdesivir treatment - cnbc https://t.co/e3r7xryoqf https://t.co/6mf9ka1mda",0.1,"P1","Positive"
"8",1247976016259268608,"Pennsylvania",2020-04-08,"our beautiful queenðÿ˜ finally she's in lebanon with her familyðÿ˜­ðÿ˜ðÿ’ž
thank god ðÿ™â¤
.
.
.
about yesterday 
#karla_boutros ""serhal hospital team  beirut_airport #corona test cpr  my friends and neighborsðÿœ·"" #backhomeâ€¦ https://t.co/cjm9j8pvnd",0.425,"P1","Positive"
"9",1261301257211387904,"Indiana",2020-05-15,"national kidney foundation

@nkf

fiona mckinney, #kidney patient and advocate, shares her story about how testing negative for #covid19 didn't stop herâ€¦ https://t.co/uqrbiaiq9i",-0.3,"P2","Negative"
"10",1261995130439061504,"Indiana",2020-05-17,"the hill

thehill

fda approves at-home nasal swab test kit for covid-19 https://t.co/s84se90aob @ community hospital https://t.co/hh0kuupzdn",0,"P2","Neutral"
"11",1262437178774360064,"Kentucky",2020-05-18,"not for the squeamish! covid-19 antibody testing for research with graves gilbert clinic. #teamkentucky #fightcovid19 @ graves gilbert clinic https://t.co/d48wjkkucg",0,"P2","Neutral"
"12",1262496990287540224,"Michigan",2020-05-18,"cruising into downtown grand rapids, where protesters have gathered in west michigan for the first time in defiance of governor whitmerâ€™s stay-at-home orders #michiganprotest #michigan #covid19 #lockdown #gretchenwhitmer #reopenamerica  https://t.co/ojofxrxm4v",0.375,"P2","Positive"
"13",1262504106163425280,"Michigan",2020-05-18,"hundreds of protesters have taken to the streets of grand rapids, michigan to protest the statewide lockdown #michiganprotest #michigan #covid19 #lockdown #gretchenwhitmer #reopenamerica  https://t.co/anl2efgl0i",0.5,"P2","Positive"
"14",1262744930742530048,"Kentucky",2020-05-19,"woolly caterpillars seem to have made a nest on the back of my neck ðÿ¤ª

morning cardio between stretching sessions... on my way to get my covid-19 antibody test today ðÿ¤—

#publichealth #safetyfirst #protectingclientsâ€¦ https://t.co/kxxqkfyygo",0,"P2","Neutral"
"15",1263460423036174336,"Pennsylvania",2020-05-21,"@phillyparttwo ""the priest shared a home with seven other members of the religious community. five of themâ tested positive for covid over the weekend, including two priests who had been active in public masses since reopening."" ðÿ§™â€â™‚ï¸ðÿ™ƒðÿ™ƒ",-0.0062121212121212,"P2","Neutral"
"16",1263625734704312320,"Michigan",2020-05-22,"another day with covid with jennifer_lofts and myself! hereâ€™s what we are talking every day! tylenol if we get a head ache or fever. havenâ€™t had either in a few days thank gosh! vitamin d and baby aspirin. babyâ€¦ https://t.co/5sxbs4kc43",-0.25,"P2","Negative"
"17",1264731461481050112,"Michigan",2020-05-25,"herbs and succulents planted in the cutest covid-19 bargain iâ€™ve found, oversized cup planters for $4.99 at aldiusa ðÿ˜ðÿ˜šðÿ‘ðÿ»  #herbs #aloevera #thyme #basil #rosemary #chives #sustainable #michigan #memorialdayweekend @â€¦ https://t.co/qza4lmdqnh",0,"P2","Neutral"
"18",1266384061569945600,"Pennsylvania",2020-05-29,"antibody tests are inaccurate up to 50% of the time according to the cdc. https://t.co/4rbyzph7qm",0,"P2","Neutral"
"19",1256450721689538560,"Michigan",2020-05-02,"see the #irony and #ignorance of the biggest #virus in #america. much bigger than #covid19 #sarscov2 #rona #coronavirus #ebola it's #trumpers and #whiteprivilege ðÿ‘‰ðÿ¾ kneel against #policebrutality don't #protest forâ€¦ https://t.co/ftlms767qq",0,"P2","Neutral"
"20",1256682746791034880,"Indiana",2020-05-02,"we are here til 6pm!! pull up free #covid19 test! @ new wineskin ministries https://t.co/o94dviacyz",0.318181818181818,"P2","Positive"
"21",1267160780933390336,"Indiana",2020-05-31,"chronic disease coalition

@chronicrights

new app helps people monitor #covid-9 symptoms from home and identify mental healthâ€¦ https://t.co/k0vaolvntj",0.0181818181818181,"P2","Neutral"
"22",1256860253636882432,"Ohio",2020-05-03,"#coronavirus #protest #kingsburywine .

with everything that is going on it only shows why government needs to be volunteer &amp; everyone involved! !!obviously there are corporations that need to fail so there can beâ€¦ https://t.co/wmkhhlug2i",-0.166666666666667,"P2","Negative"
"23",1257497469056962560,"Ohio",2020-05-05,"the last dance
.
latest binge watch during corona quarantine has been the last dance on espn.  that got me reminiscing about this past ecs basketball season. ðÿ€
what are you all binge watching during thisâ€¦ https://t.co/qvq8niqnat",0.0625,"P2","Neutral"
"24",1257794972935262208,"Pennsylvania",2020-05-05,"with crispr, a possible quick test for the coronavirus - the new york times https://t.co/degfeikwnh https://t.co/sqbatb187a",0.156565656565656,"P2","Positive"
"25",1258006518466740224,"Michigan",2020-05-06,"rt @local4news: michigan coronavirus: cases and deaths continue to slow in detroit and around southeast michigan -- check the latest #covid19 data here: https://t.co/hecen0g828 https://t.co/busp0g7cra #blacktwitter",0.0999999999999999,"P2","Neutral"
"26",1258104065487253504,"Ohio",2020-05-06,"free coronavirus testing at mlk civic center parking lot in ec hurry and make sure u r corona free!!!! @ east cleveland, ohio https://t.co/x1vrvtmkvg",0.444140625,"P2","Positive"
"27",1258227463194324992,"Kentucky",2020-05-07,"16 days and still going with this #covid19 #coronavirus #cough but i'm getting better with a lil #tlc from my #corgis @ louisville, kentucky https://t.co/yhx7tyxvpu",0.5,"P2","Positive"
"28",1258559741409685504,"Michigan",2020-05-08,"this is why you need to quarantine for 7-14 days after symptom onset #coronavirus #sarcov2 @ detroit, michigan https://t.co/0zy3hw1jws",0,"P2","Neutral"
"29",1259205028172066816,"Indiana",2020-05-09,"cdc

@cdcgov

new laboratory guidance can help state/local health depts, medical examiners &amp; coroners collecting autopsy specimens for #covid19 testing. accurate determination of cause of death in deceased patientsâ€¦ https://t.co/x5fr8m1a5i",0.178787878787879,"P2","Positive"
"30",1270657166039531520,"Michigan",2020-06-10,"covid-19 testing: where? no insurance?  https://t.co/e2qmdfod9l",0,"P2","Neutral"
"31",1270751846999654400,"Michigan",2020-06-10,"curious to see if youâ€™ve been previously exposed to covid-19? 
stop in to any myhealth urgent care location to get tested today. we are offering multiple testing options including serology as well as nasalâ€¦ https://t.co/lva6uzh3wb",-0.0888888888888888,"P2","Neutral"
"32",1270772189793406976,"Pennsylvania",2020-06-10,"back in the city today for pre-admission testing which includes bloodwork and a covid test. joe has another brain surgery this friday, june 12, to further repair his ruptured aneurysm. he will have to stay at leastâ€¦ https://t.co/wwzyb2l4bd",-0.1,"P2","Negative"
"33",1272357342340841472,"Michigan",2020-06-15,"@revgracey is pleased to partner with oakland county commissioner @angelapowell12 and mclaren hospital to offer free covid-19 testing june 23rd 8am-noon. please register https://t.co/c9wangelwd @â€¦ https://t.co/fqgk772n78",0.45,"P2","Positive"
"34",1272559422338818048,"Ohio",2020-06-15,"so with covid and all the protests, business has been very slow. racing has been and looks to continue to be non existent for me at the moment. i would like to do an autox soon but no money involved for me there. iâ€¦ https://t.co/dsuqmoyjmb",-0.39,"P2","Negative"
"35",1272974370277744640,"Indiana",2020-06-16,"akf advocacy

@akf_advocacy

akf is proud to submit testimony to 

@waysmeanscmte

on the impact of #covid19 on communities of color, who have higher rates of #esrd and covid-19. the american kidney fund continuesâ€¦ https://t.co/wnh7ovtnkm",0.35,"P2","Positive"
"36",1273398120752259072,"Indiana",2020-06-17,"american kidney fund

@kidneyfund

#covid19 is having a devastating impact on people of color, and black people are facing the greatest disparity. black people make up 13% of the u.s. population but represent 24% ofâ€¦ https://t.co/c6ca5sx9o9",-0.0666666666666666,"P2","Neutral"
"37",1273811874224709632,"Indiana",2020-06-19,"we are learning throughout each day, more and more college and professional athletes are testing positive for covidâ€¦ while things are opening back up. i just donâ€™t see any way we have sports late summer/fall. 

why would athletes put themselves at risk? https://t.co/tgeas4iptp",0.171212121212121,"P2","Positive"
"38",1274022088290992128,"Indiana",2020-06-19,"more positive testsâ€¦. https://t.co/jpymvxdfy2",0.363636363636364,"P2","Positive"
