"","ID","State","Date","text","sentiments_x","Phase","simpleSenti"
"1",1244469895686959104,"Ohio",2020-03-30,"i was out on a late night quarantine walk and had to run back to get my camera for this shot. â›ˆâ˜”ï¸â›ˆ
â·
â·
â·
â·
â·
#moodygrams #instagood #moody_tones #photooftheday #love #photography #instagram #beautiful #agameoftonesâ€¦ https://t.co/vh66kb54pb",0,"P1","Neutral"
"2",1244449953948340224,"Indiana",2020-03-30,"we sincerely appreciate all doctors, nurses and health heroes for all hard work and long hours to help the patients. thank you from us to all of you. may the medicines and vaccine be available soon. 

to all, pleaseâ€¦ https://t.co/fhpewshpd6",0,"P1","Neutral"
"3",1249398425885556736,"Ohio",2020-04-12,"need i say more than whatâ€™s posted on the photo?ðÿ¤¨ .. all facts. #theartofthinkingoutloud #billgates #vaccines #virus #pandemic #socialdistancing #devil #evil #corona #life #usa @ cincinnati https://t.co/0aswzrqnl2",-0.25,"P1","Negative"
"4",1251716685293326336,"Pennsylvania",2020-04-19,"jello shots for the #quaranteam! ðÿ˜œ
.
.
.
#lifeisatour #quarantine #saturdayvibes #corona #passingthetime #jello #raspberry @ hemlock farms, pennsylvania https://t.co/emiqor89oz",0,"P1","Neutral"
"5",1253277116751179776,"Pennsylvania",2020-04-23,"""you never open your mouth until you know what the shot is."" -ricky roma-

#thoughtfulthursday
#quote
ðÿž¬ #glengarryglenross
#movies
#classics
â˜• #coffee &amp; morningjoe
#trumptrainwreck
#covid19
ðÿ—³â€¦ https://t.co/bzyvrml7yd",0,"P1","Neutral"
"6",1245828786441969664,"Michigan",2020-04-02,"itâ€™s been a minute since me and my bro kaztrosmtl linked up but weâ€™re back again with a banger ðÿ”¥ðÿ’ªðÿ¾  hit the link in my bio ðÿ–¤
.
p.s. *this was shot prior to when the corona virus got serious and started putting statesâ€¦ https://t.co/inls7fxrom",-0.111111111111111,"P1","Negative"
"7",1246460008318922752,"Pennsylvania",2020-04-04,"last location shooting i did.. before this hole corona thing happened.. shots of wilkes-barre on a rainy night ðÿœƒ @ wilkes-barre, pennsylvania https://t.co/upuveybnnm",0,"P1","Neutral"
"8",1259477318155845632,"Pennsylvania",2020-05-10,"june 4th? ok covid. not stopping this 1âƒ£ put your hands ðÿ‘†! alylitvak
----------
#steadfastphotography #canonsalwaysfiring#5d #rainshot #300mmf4 #nofilter #naturalight #noeditshots #sorryfortheinstacrop ðÿ¤¦â€â™‚ï¸#nikeâ€¦ https://t.co/mu9d6qqcy6",0.625,"P2","Positive"
"9",1259907278267985920,"Indiana",2020-05-11,"i love a good wide angle shot, donâ€™t you agree?
â€¢
iâ€™m finally able to get my roots done today. itâ€™s been way too long. but safety first!
â€¢
how does everyone feel about the #covid19 restrictions starting to be liftedâ€¦ https://t.co/33eqyaip9s",0.266071428571429,"P2","Positive"
"10",1261370361431506944,"Pennsylvania",2020-05-15,"here are a few of the raw shots from wednesday night. if you know a senior who had their last year impacted by #coronavirus i would love to share their story. have them reach out to me for details and pricing. @â€¦ https://t.co/quxxzcx6pi",0.0173076923076923,"P2","Neutral"
